Time,efergyWatts,owlWatts,fuelGallonsBurned,oduTemp,oduDewpoint,iduTemp,iduDewpoint,ext1Temp,ext1Dewpoint,ext2Temp,ext2Dewpoint,ext3Temp,ext3Dewpoint,ext4Temp,ext4Dewpoint,Pressure
1411677000,463,50,0,61.2,46.8,64.4,42.6,64.2,47.7,76.8,53.9,64.2,51,62.4,49.3,29.62
1411677900,436,50,0,61.2,47.2,64.4,42.6,64.2,47.7,76.3,53.4,64.2,51,62.6,49.4,29.62
1411678800,427,50,0,61,47.5,64.6,42.8,64.4,47.9,75.9,53.1,64.2,51,62.6,49.4,29.62
1411679700,484,50,0,60.6,47.6,64.6,42.8,64.4,47.9,75.4,52.6,64.2,50.5,62.6,49.4,29.62
1411680600,849,49,0,60.4,47.4,64.6,42.8,64.4,47.9,74.5,51.8,64.2,51,62.6,49.4,29.62
1411681500,535,49,0,60.3,47.6,64.6,42.8,64.4,48.4,73.6,50.4,64.2,51,62.6,49.9,29.62
1411682400,368,50,0,59.9,47.7,64.6,42.8,64.4,48.4,72.7,49.6,64.2,51,62.6,49.9,29.62
1411683300,400,125,0.05,59.5,47.8,64.8,43,64.4,48.4,71.8,48.7,64.2,51,62.6,49.9,29.62
1411684200,675,243,0.07,59.2,47.9,64.8,43,64.4,48.4,70.9,48.5,64.2,51.4,62.8,50,29.62
1411685100,596,50,0,58.8,47.9,64.8,43,64.4,48.4,69.8,47.5,64.4,51.1,62.8,50,29.62
1411686000,812,50,0,58.1,47.6,64.8,43,64.4,48.4,68.7,46.6,64.4,51.1,62.8,50,29.62
1411686900,719,50,0,57.6,47.5,64.8,43,64.4,48.4,67.8,45.7,64.4,51.1,62.8,50,29.62
1411687800,698,50,0,57.2,47.5,64.8,43,64.4,48.4,66.7,44.8,64.2,51,62.8,50,29.62
1411688700,670,50,0,56.7,47.4,64.8,43,64.4,48.4,65.7,44.4,64.2,51,62.8,50,29.62
1411689600,661,50,0,56.5,47.2,64.8,43,64.4,48.4,64.4,43.2,64.2,51,62.8,50,29.62
1411690500,655,50,0,56.1,47.2,64.8,43,64.4,48.4,63.5,42.4,64.2,51,62.8,50,29.62
1411691400,659,50,0,55.9,47.1,64.8,43,64.4,48.4,62.6,41.6,64.2,51,62.8,50,29.62
1411692300,877,50,0,55.8,47.3,64.8,43,64.2,48.2,61.9,41.5,64.2,51,62.8,50,29.62
1411693200,1506,50,0,55.6,47.1,64.8,43,64.2,48.2,61.2,40.8,64.2,51,62.8,50,29.62
1411694100,995,50,0,55.4,46.9,64.6,42.8,64.2,48.2,60.6,40.9,64.4,51.1,62.8,50,29.62
1411695000,717,50,0,55,46.9,64.6,42.8,64.2,48.2,59.9,40.2,64.6,51.7,62.8,50,29.62
1411695900,754,50,0,54.5,46.4,64.6,42.8,64.2,48.2,59.4,39.7,64.8,52.3,62.8,50,29.62
1411696800,770,111,0.05,54,45.9,64.6,42.8,64.2,48.2,58.6,39,64.9,52.5,62.8,50,29.62
1411697700,699,50,0,53.2,45.2,64.6,42.8,64.2,48.2,58.1,39.1,65.1,52.7,62.8,49.6,29.62
1411698600,512,50,0,52.9,44.8,64.4,42.6,64.2,48.2,57.4,38.4,65.3,52.8,62.8,49.6,29.62
1411699500,438,50,0,52.5,44.8,64.4,42.6,64.2,48.2,56.8,38.4,65.5,53,62.8,49.6,29.62
1411700400,1816,50,0,52.2,44.5,64.4,42.6,64,48.1,56.3,37.9,65.5,53,62.8,49.6,29.62
1411701301,769,50,0,51.6,44.3,64.4,42.6,64,48.1,55.8,37.4,65.5,53,62.8,49.6,29.62
1411702200,434,50,0,51.6,44.3,64.4,42.6,64,47.6,55,36.8,65.5,53.4,62.8,49.6,29.62
1411703100,419,50,0,51.3,44,64.2,42.5,63.9,47.4,54.5,36.8,65.5,53,62.6,49.4,29.62
1411704000,313,50,0,50.7,43.5,64.2,42.5,63.9,47.4,54,36.3,65.3,52.8,62.6,49.4,29.62
1411704900,323,50,0,50.5,43.6,64.2,42.5,63.7,47.2,53.4,36.3,65.3,52.8,62.6,49.4,29.62
1411705800,320,94,0.04,50.4,43.4,64,42.3,63.5,47.1,53.1,35.9,65.1,52.7,62.6,49.4,29.62
1411706700,359,50,0,50.2,43.3,64,42.3,63.5,47.1,52.5,35.4,65.1,52.2,62.6,49.4,29.62
1411707600,453,50,0,50.2,43.6,63.9,42.1,63.3,46.9,52.2,35.1,65.1,52.2,62.6,49.4,29.62
1411708500,497,50,0,50.2,43.6,63.9,42.1,63.3,46.9,51.8,34.8,65.1,52.2,62.4,49.7,29.62
1411709400,493,50,0,50,43.4,63.7,42,63.3,46.9,51.6,35.1,64.9,52.1,62.4,49.3,29.62
1411710300,440,50,0,50,43.4,63.7,42,63.3,46.9,51.3,34.3,64.9,52.1,62.4,49.3,29.62
1411711200,390,50,0,49.8,43.6,63.5,41.8,63.1,46.7,51.1,34.1,64.9,52.1,62.4,49.3,29.62
1411712100,433,50,0,49.6,43.4,63.5,41.8,63.1,46.7,50.7,33.8,64.8,51.9,62.2,49.1,29.62
1411713000,383,50,0,49.5,43.6,63.5,41.8,63.1,46.7,50.5,34.1,64.8,51.9,62.2,49.1,29.62
1411713900,381,50,0,49.5,43.6,63.3,41.6,63,46.6,50.2,33.7,64.8,51.9,62.2,49.1,29.62
1411714800,491,89,0.01,49.3,43.4,63.3,41.6,63,46.6,50,33.6,64.6,51.7,62.2,49.1,29.62
1411715700,1869,90,0.03,48.7,42.5,63.1,41.5,63,46.6,49.6,33.2,64.6,51.7,62.1,48.9,29.62
1411716600,926,50,0,48.6,42.4,63.1,41.5,63,46.1,49.5,33.5,64.4,51.6,62.1,48.9,29.62
