Time,efergyWatts,owlWatts,fuelGallonsBurned,oduTemp,oduDewpoint,iduTemp,iduDewpoint,ext1Temp,ext1Dewpoint,ext2Temp,ext2Dewpoint,ext3Temp,ext3Dewpoint,ext4Temp,ext4Dewpoint,iduSealevelPressure
1411718400,529,57,0.08,49.7,43.3,63.6,41.9,63.2,46.8,51.3,34.5,64.9,52.1,62.4,49.2,29.62
1411732800,584,62,0.10,47.3,41.3,62.2,40.5,62.1,45.3,47.2,32.2,63.8,50.5,61.6,48.0,29.62
1411747200,482,68,0.10,56.1,50.4,61.4,39.6,62.2,45.9,57.3,43.6,62.8,48.4,61.1,47.5,29.62
1411761600,571,86,0.27,69.1,52.2,64.4,45.8,64.3,50.3,91.6,67.2,66.5,53.0,62.6,51.9,29.62
1411776000,455,53,0.03,66.9,50.5,67.0,50.5,65.7,52.3,84.5,56.8,67.2,56.3,64.6,54.3,29.62
1411790400,521,59,0.09,58.9,49.5,67.2,48.5,65.4,51.2,65.2,43.3,67.2,56.1,64.6,53.4,29.62
1411804800,533,55,0.04,55.6,49.0,66.6,46.7,64.7,50.1,57.4,38.6,66.9,54.6,64.2,52.8,29.62
1411819200,653,71,0.16,53.9,48.3,65.7,45.1,64.1,49.4,53.9,36.7,65.4,52.9,63.8,52.1,29.62
1411833600,619,68,0.15,62.3,55.9,65.0,44.5,64.4,49.8,63.7,47.8,62.6,52.8,63.7,52.1,29.62
1411848000,531,60,0.06,75.4,52.6,67.9,51.3,66.3,52.8,97.1,69.4,66.6,55.8,65.1,54.4,29.62
1411862400,748,69,0.12,74.5,54.1,70.8,56.0,68.1,55.3,91.6,59.7,68.6,58.0,67.0,57.3,29.62
1411876800,702,54,0.04,66.2,55.9,71.2,54.4,68.6,56.5,72.7,48.7,69.7,58.9,67.8,58.1,29.62
1411891200,432,67,0.10,61.3,54.2,70.8,52.5,68.1,55.5,64.3,44.0,69.9,58.3,67.7,57.6,29.62
1411905600,642,54,0.05,58.1,52.3,69.8,50.4,67.3,54.4,59.3,41.2,68.9,56.3,67.2,56.8,29.62
1411920000,931,109,0.36,66.0,59.6,69.0,49.2,66.6,55.7,67.7,51.0,66.7,56.6,66.7,56.7,29.62
1411934400,1617,62,0.07,78.4,56.2,71.6,55.8,69.1,57.7,99.6,71.2,70.0,59.9,68.0,58.8,29.62
1411948800,670,54,0.05,77.2,56.2,74.4,59.8,71.0,59.7,93.7,61.5,72.0,61.5,70.0,61.3,29.62
1411963200,681,53,0.04,69.4,56.8,74.6,58.3,71.0,59.5,75.3,51.2,72.5,61.5,70.5,61.7,29.62
1411977600,449,68,0.14,65.1,57.4,73.9,56.2,70.4,58.9,67.4,47.8,71.7,60.2,70.2,60.8,29.62
1411992000,520,49,0.00,62.0,56.0,72.9,54.4,69.7,57.9,63.3,45.8,70.5,58.7,69.6,60.1,29.62
1412006400,689,71,0.14,65.5,59.3,71.9,52.8,69.8,58.0,67.2,50.3,69.0,59.4,69.2,59.4,29.62
