Time,efergyWatts,owlWatts,fuelGallonsBurned,oduTemp,oduDewpoint,iduTemp,iduDewpoint,ext1Temp,ext1Dewpoint,ext2Temp,ext2Dewpoint,ext3Temp,ext3Dewpoint,ext4Temp,ext4Dewpoint,iduSealevelPressure
1411790400,523,64,0.67,58.0,47.9,64.3,44.5,63.8,48.6,66.2,46.3,65.4,52.7,62.8,50.7,29.62
1411876800,631,63,0.57,64.6,52.6,67.9,49.7,66.0,52.3,72.7,50.2,66.6,55.5,65.3,54.5,29.62
1411963200,829,66,0.67,68.4,55.9,71.7,54.3,68.9,57.1,76.7,53.4,70.0,59.0,68.3,58.8,29.62
1412049600,644,64,0.70,63.3,55.0,72.6,54.1,70.3,58.3,69.6,50.3,70.6,59.7,69.5,59.9,29.62
1412136000,609,63,0.70,57.1,52.6,68.5,48.7,67.7,54.6,60.8,46.1,68.6,56.6,66.9,56.4,29.62
1412222400,699,61,0.51,57.3,53.9,65.3,46.0,66.2,53.3,58.2,45.7,66.9,55.3,65.3,54.7,29.62
1412308800,794,78,1.03,54.7,50.8,63.3,44.7,65.4,52.5,58.0,46.5,65.6,54.3,65.0,54.1,29.62
1412395200,957,67,0.65,53.0,45.7,61.5,42.9,63.4,49.7,58.9,46.2,64.3,52.5,63.0,51.3,29.62
1412481600,1031,73,0.87,57.5,55.0,62.3,45.2,64.3,50.5,59.8,46.9,64.9,54.2,63.2,51.8,29.61
1412568000,671,81,0.82,54.3,39.4,63.3,46.3,65.5,51.3,62.7,47.5,65.9,53.8,65.1,53.6,29.78
1412654400,745,99,0.45,55.2,43.3,61.4,43.2,64.1,49.2,57.8,39.7,64.5,52.3,66.2,52.1,30.16
1412740800,628,63,0.62,61.5,52.1,61.5,44.3,64.6,51.4,62.6,47.9,64.7,53.6,63.9,52.2,30.07
1412827200,730,61,0.32,64.1,43.3,66.3,50.5,66.8,50.4,71.3,52.4,67.4,55.3,65.9,53.6,29.73
1412913600,737,69,0.74,54.7,32.9,64.1,45.0,64.4,47.6,58.2,40.1,65.8,52.8,63.9,50.5,29.90
